    INT     ,    FLOAT     ,    FLOAT     ,      FLOAT       ,      FLOAT      ,              FLOAT              ,     FLOAT     ,    FLOAT     ,        FLOAT         ,              FLOAT              ,     FLOAT     ,    FLOAT     ,        FLOAT         ,    FLOAT     ,    FLOAT     ,      FLOAT       ,      FLOAT       ,     FLOAT     ,     FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,      FLOAT       ,      FLOAT       , BOOL  , BOOL ,     BOOL      ,        BOOL         ,        INT        ,     INT      ,        INT        ,     INT      , INT  
     -      ,     Msol     ,     Msol     ,        AU        ,        -        ,                -                ,       -       ,      -       ,          -           ,                -                ,       -       ,      -       ,          -           ,    yr^-1     ,    yr^-1     ,      kms^-1      ,      kms^-1      ,    kms^-1     ,    kms^-1     ,      -       ,      -       ,      -       ,        -         ,        -         , State ,Event ,     Event     ,        Event        ,         -         ,      -       ,         -         ,      -       ,  -   
    SEED    , Mass@ZAMS_1  , Mass@ZAMS_2  ,SemiMajorAxis@ZAMS,Eccentricity@ZAMS,SN_Kick_Magnitude_Random_Number_1,SN_Kick_Theta_1,SN_Kick_Phi_1 ,SN_Kick_Mean_Anomaly_1,SN_Kick_Magnitude_Random_Number_2,SN_Kick_Theta_2,SN_Kick_Phi_2 ,SN_Kick_Mean_Anomaly_2, Omega@ZAMS_1 , Omega@ZAMS_2 ,Sigma_Kick_CCSN_NS,Sigma_Kick_CCSN_BH,Sigma_Kick_ECSN,Sigma_Kick_USSN,LBV_Multiplier,WR_Multiplier ,   CE_Alpha   ,Metallicity@ZAMS_1,Metallicity@ZAMS_2,Unbound,Merger,Merger_At_Birth,Equilibrated_At_Birth,Stellar_Type@ZAMS_1,Stellar_Type_1,Stellar_Type@ZAMS_2,Stellar_Type_2,Error 
  1604540693,  1.612598e+01,  1.311063e+01,      3.521789e+02,     0.000000e+00,                     8.130128e-01,   2.660031e+00, -5.285935e-01,          5.120028e+00,                     8.866908e-01,   1.634206e+00,  5.549117e-01,          1.313832e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      2.000000e-02,      2.000000e-02,1,0,0,0,                  1,            13,                  1,             1,     0
  1604540694,  2.038869e+01,  4.753088e-01,      3.475668e+01,     0.000000e+00,                     2.478404e-01,   1.185181e+00, -6.603710e-01,          1.714692e+00,                     4.233570e-01,   1.849667e+00, -6.155952e-02,          4.796798e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      2.000000e-02,      2.000000e-02,1,0,0,0,                  1,            14,                  0,             0,     0
  1604540695,  1.124750e+01,  3.264257e+00,      3.837678e+01,     0.000000e+00,                     6.815142e-02,   3.453626e+00, -3.725367e-01,          1.202142e+00,                     8.081139e-01,   2.161213e+00,  3.453208e-01,          2.008194e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      2.000000e-02,      2.000000e-02,1,0,0,0,                  1,            13,                  1,             1,     0
  1604540696,  8.789770e+00,  4.647028e-01,      3.640173e+00,     0.000000e+00,                     3.309124e-02,   2.371928e-01, -1.056975e-01,          2.433836e-01,                     8.311880e-01,   5.717288e+00, -7.359253e-01,          5.883952e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      2.000000e-02,      2.000000e-02,0,1,0,0,                  1,             8,                  0,            15,     0
  1604540697,  2.043629e+01,  5.980345e+00,      3.418410e+00,     0.000000e+00,                     4.381179e-02,   3.652840e+00,  2.545562e-01,          2.471028e+00,                     5.909594e-01,   2.045158e+00, -5.135951e-01,          1.341721e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      2.000000e-02,      2.000000e-02,0,1,0,0,                  1,             7,                  1,            15,     0
  1604540698,  1.101087e+01,  3.559115e+00,      2.690807e-01,     0.000000e+00,                     7.089086e-01,   4.998773e+00, -4.483727e-01,          3.651813e+00,                     7.293682e-01,   3.117047e+00,  2.536998e-01,          4.963748e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      2.000000e-02,      2.000000e-02,0,0,0,0,                  1,            13,                  1,            11,     0
  1604540699,  1.158407e+01,  1.763351e+00,      1.166629e+01,     0.000000e+00,                     4.536481e-01,   4.440754e+00, -1.925539e-01,          6.140707e+00,                     5.936727e-01,   5.230024e+00, -9.474252e-01,          9.761445e-01,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      2.000000e-02,      2.000000e-02,1,0,0,0,                  1,            13,                  1,             1,     0
  1604540700,  1.072241e+01,  7.361635e+00,      1.778798e+00,     0.000000e+00,                     2.051331e-01,   3.867906e+00, -1.511707e-01,          1.584200e+00,                     8.546163e-01,   2.734191e+00,  1.519442e+00,          4.751744e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      2.000000e-02,      2.000000e-02,1,0,0,0,                  1,            13,                  1,             1,     0
  1604540701,  1.179456e+01,  1.086629e+01,      2.650657e+00,     0.000000e+00,                     4.901725e-01,   1.560547e+00,  8.799830e-01,          5.735392e+00,                     3.150843e-01,   1.676966e-01, -2.971497e-01,          4.322408e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      2.000000e-02,      2.000000e-02,1,0,0,0,                  1,            13,                  1,             4,     0
  1604540702,  1.901343e+01,  6.088720e-01,      1.321936e-01,     0.000000e+00,                     2.016200e-01,   9.359267e-01,  1.195840e+00,          2.310074e+00,                     7.445860e-01,   6.349343e-01, -1.325410e-01,          5.095911e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      2.000000e-02,      2.000000e-02,0,1,0,0,                  1,             1,                  0,             0,     0
