    INT     	    FLOAT     	    FLOAT     	      FLOAT       	      FLOAT      	              FLOAT              	     FLOAT     	    FLOAT     	        FLOAT         	              FLOAT              	     FLOAT     	    FLOAT     	        FLOAT         	    FLOAT     	    FLOAT     	      FLOAT       	      FLOAT       	     FLOAT     	     FLOAT     	    FLOAT     	    FLOAT     	    FLOAT     	      FLOAT       	      FLOAT       	 BOOL  	 BOOL 	     BOOL      	        INT        	     INT      	        INT        	     INT      	 INT  
     -      	     Msol     	     Msol     	        AU        	        -        	                -                	       -       	      -       	          -           	                -                	       -       	      -       	          -           	    yr^-1     	    yr^-1     	      kms^-1      	      kms^-1      	    kms^-1     	    kms^-1     	      -       	      -       	      -       	        -         	        -         	 State 	Event 	     Event     	         -         	      -       	         -         	      -       	  -   
    SEED    	 Mass@ZAMS_1  	 Mass@ZAMS_2  	SemiMajorAxis@ZAMS	Eccentricity@ZAMS	SN_Kick_Magnitude_Random_Number_1	SN_Kick_Theta_1	SN_Kick_Phi_1 	SN_Kick_Mean_Anomaly_1	SN_Kick_Magnitude_Random_Number_2	SN_Kick_Theta_2	SN_Kick_Phi_2 	SN_Kick_Mean_Anomaly_2	 Omega@ZAMS_1 	 Omega@ZAMS_2 	Sigma_Kick_CCSN_NS	Sigma_Kick_CCSN_BH	Sigma_Kick_ECSN	Sigma_Kick_USSN	LBV_Multiplier	WR_Multiplier 	   CE_Alpha   	Metallicity@ZAMS_1	Metallicity@ZAMS_2	Unbound	Merger	Merger_At_Birth	Stellar_Type@ZAMS_1	Stellar_Type_1	Stellar_Type@ZAMS_2	Stellar_Type_2	Error 
  1604557104	  4.238322e+01	  2.925727e+01	      6.415018e+01	     0.000000e+00	                     8.520289e-02	  -2.854004e-01	  5.102131e+00	          1.571609e+00	                     9.378110e-02	   1.830757e-01	  2.705363e+00	          6.270472e+00	  0.000000e+00	  0.000000e+00	      2.500000e+02	      2.500000e+02	   3.000000e+01	   3.000000e+01	  1.500000e+00	  1.000000e+00	  1.000000e+00	      2.000000e-02	      2.000000e-02	1	0	0	                  1	            14	                  1	            14	     0
  1604557105	  1.730855e+01	  8.612757e+00	      9.308018e+02	     0.000000e+00	                     5.301587e-02	  -3.759388e-03	  6.246094e+00	          4.579878e+00	                     8.123558e-02	  -7.265412e-01	  5.110240e+00	          5.417270e+00	  0.000000e+00	  0.000000e+00	      2.500000e+02	      2.500000e+02	   3.000000e+01	   3.000000e+01	  1.500000e+00	  1.000000e+00	  1.000000e+00	      2.000000e-02	      2.000000e-02	1	0	0	                  1	            13	                  1	             1	     0
  1604557106	  2.000045e+01	  1.328372e+01	      2.916665e+00	     0.000000e+00	                     9.548499e-01	   1.413951e+00	  4.701394e+00	          3.749846e+00	                     8.372293e-02	  -3.368885e-01	  6.012293e+00	          2.291068e+00	  0.000000e+00	  0.000000e+00	      2.500000e+02	      2.500000e+02	   3.000000e+01	   3.000000e+01	  1.500000e+00	  1.000000e+00	  1.000000e+00	      2.000000e-02	      2.000000e-02	1	0	0	                  1	            13	                  1	             1	     0
  1604557107	  1.525121e+01	  7.532666e+00	      1.255164e+00	     0.000000e+00	                     1.139251e-01	  -3.416602e-01	  1.444677e+00	          4.713027e+00	                     3.546762e-01	  -9.223221e-01	  9.509507e-01	          7.545979e-01	  0.000000e+00	  0.000000e+00	      2.500000e+02	      2.500000e+02	   3.000000e+01	   3.000000e+01	  1.500000e+00	  1.000000e+00	  1.000000e+00	      2.000000e-02	      2.000000e-02	0	1	0	                  1	             7	                  1	            15	     0
  1604557108	  9.412678e+00	  8.445335e+00	      1.529446e+00	     0.000000e+00	                     8.121238e-01	  -1.146027e+00	  5.464697e-02	          5.061057e+00	                     4.536203e-01	  -6.219011e-02	  4.277239e+00	          5.760981e+00	  0.000000e+00	  0.000000e+00	      2.500000e+02	      2.500000e+02	   3.000000e+01	   3.000000e+01	  1.500000e+00	  1.000000e+00	  1.000000e+00	      2.000000e-02	      2.000000e-02	1	0	0	                  1	            13	                  1	             4	     0
  1604557109	  2.269592e+01	  1.629601e+01	      1.731693e+02	     0.000000e+00	                     8.797611e-01	   7.185507e-01	  4.658750e+00	          3.876466e+00	                     3.938647e-01	   2.778571e-01	  2.359342e+00	          2.254310e+00	  0.000000e+00	  0.000000e+00	      2.500000e+02	      2.500000e+02	   3.000000e+01	   3.000000e+01	  1.500000e+00	  1.000000e+00	  1.000000e+00	      2.000000e-02	      2.000000e-02	1	0	0	                  1	            14	                  1	             1	     0
  1604557110	  8.605153e+00	  2.402232e-01	      3.617938e+01	     0.000000e+00	                     8.867779e-01	  -1.280983e+00	  1.990310e+00	          2.288774e+00	                     3.256925e-01	   2.860486e-01	  1.959097e+00	          6.088532e+00	  0.000000e+00	  0.000000e+00	      2.500000e+02	      2.500000e+02	   3.000000e+01	   3.000000e+01	  1.500000e+00	  1.000000e+00	  1.000000e+00	      2.000000e-02	      2.000000e-02	1	0	0	                  1	            13	                  0	             0	     0
  1604557111	  2.199052e+01	  7.041217e+00	      8.977603e+00	     0.000000e+00	                     5.953820e-01	  -6.407947e-01	  2.642946e+00	          8.735646e-01	                     7.039470e-02	  -1.257127e-01	  1.799599e+00	          4.003447e+00	  0.000000e+00	  0.000000e+00	      2.500000e+02	      2.500000e+02	   3.000000e+01	   3.000000e+01	  1.500000e+00	  1.000000e+00	  1.000000e+00	      2.000000e-02	      2.000000e-02	0	1	0	                  1	             7	                  1	            15	     0
  1604557112	  1.017246e+01	  3.508158e+00	      1.499855e+00	     0.000000e+00	                     6.805383e-01	  -5.985330e-01	  3.114802e+00	          1.191542e+00	                     5.234079e-01	  -1.538364e+00	  1.460967e+00	          1.616864e+00	  0.000000e+00	  0.000000e+00	      2.500000e+02	      2.500000e+02	   3.000000e+01	   3.000000e+01	  1.500000e+00	  1.000000e+00	  1.000000e+00	      2.000000e-02	      2.000000e-02	1	0	0	                  1	            13	                  1	             1	     0
  1604557113	  1.096461e+01	  4.762965e+00	      2.705158e+00	     0.000000e+00	                     8.351126e-01	   1.501645e+00	  3.944255e+00	          3.603189e+00	                     1.380906e-01	   2.873503e-01	  2.487296e+00	          2.690794e+00	  0.000000e+00	  0.000000e+00	      2.500000e+02	      2.500000e+02	   3.000000e+01	   3.000000e+01	  1.500000e+00	  1.000000e+00	  1.000000e+00	      2.000000e-02	      2.000000e-02	0	1	0	                  1	             7	                  1	            15	     0
