    INT     ,     FLOAT      ,    FLOAT     ,    FLOAT     ,       FLOAT       ,       FLOAT       ,     FLOAT     ,     FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,       INT       ,     INT      ,    FLOAT     ,     FLOAT      ,    FLOAT     ,      FLOAT      ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,       FLOAT        ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,       INT       ,     INT      ,    FLOAT     ,     FLOAT      ,    FLOAT     ,      FLOAT      ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,       FLOAT        ,    FLOAT     ,   INT    , BOOL ,    BOOL     ,     INT      ,     BOOL     , BOOL ,     FLOAT     ,    FLOAT     ,      FLOAT       ,     FLOAT      ,     FLOAT      , BOOL ,     FLOAT     ,    FLOAT     ,      FLOAT       ,     FLOAT      ,     FLOAT      ,    FLOAT     ,    FLOAT     ,     FLOAT      ,     FLOAT      ,     FLOAT      ,     FLOAT      ,      BOOL       ,      BOOL       
     -      ,      Myr       ,      -       ,      -       ,        erg        ,        erg        ,       -       ,       -       ,     Rsol     ,     Rsol     ,     Rsol     ,     Rsol     ,     Rsol     ,     Rsol     ,     Msol     ,     Msol     ,     Msol     ,     Rsol     ,     Rsol     ,        -        ,      -       ,      -       ,       -        ,      -       ,        -        ,      -       ,     erg      ,     erg      ,     erg      ,        erg         ,     erg      ,     Msol     ,     Msol     ,     Msol     ,     Rsol     ,     Rsol     ,        -        ,      -       ,      -       ,       -        ,      -       ,        -        ,      -       ,     erg      ,     erg      ,     erg      ,        erg         ,     erg      ,    -     ,Event ,    State    ,    Count     ,    Event     ,State ,     Lsol      ,      K       ,       Myr        ,      Myr       ,      Myr       ,State ,     Lsol      ,      K       ,       Myr        ,      Myr       ,      Myr       ,      -       ,      -       ,      Myr       ,      Myr       ,      Myr       ,      Myr       ,      Event      ,      Event      
    SEED    ,      Time      , Lambda@CE_1  , Lambda@CE_2  ,Binding_Energy<CE_1,Binding_Energy<CE_2,Eccentricity<CE,Eccentricity>CE,Separation<CE ,Separation>CE ,RocheLobe_1<CE,RocheLobe_1>CE,RocheLobe_2<CE,RocheLobe_2>CE,  Mass_1<CE   ,  Mass_Env_1  , Core_Mass_1  , Radius_1<CE  , Radius_1>CE  ,Stellar_Type_1<CE,Stellar_Type_1,Lambda_Fixed_1,Lambda_Nanjing_1, Loveridge_1  ,Loveridge_Winds_1,  Kruckow_1   ,  BE_Fixed_1  , BE_Nanjing_1 ,BE_Loveridge_1,BE_Loveridge_Winds_1, BE_Kruckow_1 ,  Mass_2<CE   ,  Mass_Env_2  , Core_Mass_2  , Radius_2<CE  , Radius_2>CE  ,Stellar_Type_2<CE,Stellar_Type_2,Lambda_Fixed_2,Lambda_Nanjing_2, Loveridge_2  ,Loveridge_Winds_2,  Kruckow_2   ,  BE_Fixed_2  , BE_Nanjing_2 ,BE_Loveridge_2,BE_Loveridge_Winds_2, BE_Kruckow_2 ,MT_History,Merger,Optimistic_CE,CE_Event_Count,Double_Core_CE,RLOF_1,Luminosity<CE_1,  Teff<CE_1   ,Tau_Dynamical<CE_1,Tau_Thermal<CE_1,Tau_Nuclear<CE_1,RLOF_2,Luminosity<CE_2,  Teff<CE_2   ,Tau_Dynamical<CE_2,Tau_Thermal<CE_2,Tau_Nuclear<CE_2,  Zeta_Star   ,  Zeta_Lobe   ,    Tau_Sync    ,    Tau_Circ    ,Tau_Radial<CE_1 ,Tau_Radial<CE_2 ,Immediate_RLOF>CE,Simultaneous_RLOF
          32,  5.68988296e+00,  5.000000e-02,  1.000000e+00,       9.704961e+49,       8.224551e+48,   0.000000e+00,   0.000000e+00,  6.658061e+02,  0.000000e+00,  4.109756e+02,          -nan,  1.181896e+02,          -nan,  3.080313e+01,  2.081383e+01,  9.989303e+00,  5.014196e+02,  9.360818e-01,                2,             7,  1.000000e-01,    5.000000e-02,  4.890909e-02,     4.890909e-02,  2.941660e-01,  4.852480e+49,  9.704961e+49,  9.921428e+49,        9.921428e+49,  1.649572e+49,  1.837607e+00,  1.837607e+00,  0.000000e+00,  1.558158e+00,  0.000000e+00,                1,            15,  1.000000e-01,    1.000000e+00,  1.206775e+00,     1.206775e+00,  1.381399e+01,  8.224551e+49,  8.224551e+48,  6.815317e+48,        6.815317e+48,  5.953786e+47,         3,1,1,             1,0,1,   3.231361e+05,  6.152098e+03,    1.01152014e-07,  1.18708331e-04,  9.53255511e-01,0,   1.117030e+01,  8.462292e+03,    7.17399223e-11,  5.82036528e+00,  1.64508295e+03,  6.500000e+00,  3.069829e+01,  0.00000000e+00,  0.00000000e+00,  1.71643164e+03,  3.74973420e+09,1,0
          33,  2.78433234e+01,  1.464723e+00,  1.000000e+00,       3.166523e+47,       4.102344e+49,   0.000000e+00,   0.000000e+00,  1.356453e+03,  0.000000e+00,  5.581141e+02,          -nan,  4.710277e+02,          -nan,  9.872259e+00,  7.008802e+00,  2.863458e+00,  5.661616e+02,  2.001859e+00,                5,             8,  1.000000e-01,    1.464723e+00,  5.726692e-01,     5.726692e-01,  2.712895e-01,  4.638080e+48,  3.166523e+47,  8.099055e+47,        8.099055e+47,  1.709642e+48,  6.808725e+00,  6.808725e+00,  0.000000e+00,  4.288623e+00,  0.000000e+00,                1,            15,  1.000000e-01,    1.000000e+00,  9.351135e-01,     9.351135e-01,  7.033660e+00,  4.102344e+50,  4.102344e+49,  4.387001e+49,        4.387001e+49,  5.832445e+48,         3,1,0,             1,0,1,   4.510912e+04,  3.538942e+03,    2.14374142e-07,  8.12787058e-05,  2.18852847e+00,0,   2.239066e+03,  1.919267e+04,    1.70182125e-10,  1.44833209e-01,  3.04087793e+01,  1.204824e-01,  5.277688e-01,  0.00000000e+00,  0.00000000e+00,  1.53406784e+05,  6.85972095e+07,1,0
          37,  4.16761425e+00,  5.000000e-02,  1.000000e+00,       1.199077e+50,       5.626002e+49,   0.000000e+00,   0.000000e+00,  1.544884e+03,  0.000000e+00,  8.517795e+02,          -nan,  3.513501e+02,          -nan,  5.059622e+01,  3.105434e+01,  1.954188e+01,  9.945839e+02,  1.411153e+00,                2,             7,  1.000000e-01,    5.000000e-02,  2.375167e-02,     2.375167e-02,  1.863370e-01,  5.995387e+49,  1.199077e+50,  2.524196e+50,        2.524196e+50,  3.217497e+49,  7.044311e+00,  7.044311e+00,  0.000000e+00,  3.347307e+00,  0.000000e+00,                1,            15,  1.000000e-01,    1.000000e+00,  1.099049e+00,     1.099049e+00,  8.297163e+00,  5.626002e+50,  5.626002e+49,  5.118972e+49,        5.118972e+49,  6.780633e+48,         3,1,1,             1,0,1,   8.388826e+05,  5.544752e+03,    2.20481974e-07,  5.64961675e-05,  6.03138292e-01,0,   1.820622e+03,  2.062931e+04,    1.15370326e-10,  2.44277163e-01,  3.86917752e+01,  6.500000e+00,  1.163859e+01,  0.00000000e+00,  0.00000000e+00,  1.05021524e+03,  9.83842975e+07,1,0
          39,  4.79120142e+02,  1.000000e+00,  1.169356e+02,       4.234624e+48,       1.132214e+44,   0.000000e+00,   0.000000e+00,  3.311767e+03,  0.000000e+00,  9.570383e+02,          -nan,  1.576617e+03,          -nan,  1.000000e+00,  1.000000e+00,  0.000000e+00,  8.961969e-01,  0.000000e+00,                1,            15,  1.000000e-01,    1.000000e+00,  2.105144e+00,     2.105144e+00,  1.997366e+01,  4.234624e+49,  4.234624e+48,  2.011561e+48,        2.011561e+48,  2.120104e+47,  3.000000e+00,  1.835473e+00,  1.164527e+00,  1.578384e+03,  6.129084e-03,                6,            11,  1.000000e-01,    1.169356e+02,  4.087788e+04,     4.087788e+04,  1.369572e-01,  1.323960e+47,  1.132214e+44,  3.238818e+41,        3.238818e+41,  9.666963e+46,         4,1,0,             1,0,0,   7.153805e-01,  5.613195e+03,    4.24204404e-11,  4.67929785e+01,  1.39785744e+04,1,   1.052299e+05,  2.619425e+03,    1.81020743e-06,  9.94577932e-07,  2.85090158e-01,  3.003855e-01,  3.436099e+00,  0.00000000e+00,  0.00000000e+00,  5.35345152e+10,  9.32215360e+05,1,0
          40,  4.77545142e+02,  1.000000e+00,  1.169356e+02,       4.234749e+48,       5.045504e+44,   0.000000e+00,   0.000000e+00,  9.188640e+02,  0.000000e+00,  2.655344e+02,          -nan,  4.374391e+02,          -nan,  1.000000e+00,  1.000000e+00,  0.000000e+00,  8.961706e-01,  0.000000e+00,                1,            15,  1.000000e-01,    1.000000e+00,  2.105242e+00,     2.105242e+00,  1.997405e+01,  4.234749e+49,  4.234749e+48,  2.011526e+48,        2.011526e+48,  2.120125e+47,  3.000000e+00,  2.267248e+00,  7.327521e-01,  4.375095e+02,  1.109946e-02,                6,            11,  1.000000e-01,    1.169356e+02,  1.096960e+00,     1.096960e+00,  3.221576e-01,  5.899989e+47,  5.045504e+44,  5.378488e+46,        5.378488e+46,  1.831398e+47,         4,1,0,             1,0,0,   7.153195e-01,  5.613157e+03,    4.24185685e-11,  4.67983451e+01,  1.39797662e+04,1,   1.687825e+04,  3.148587e+03,    2.64174282e-07,  2.76329067e-05,  1.77743507e+00,  4.656326e-02,  3.436103e+00,  0.00000000e+00,  0.00000000e+00,  5.35370005e+10,  1.05817325e+06,1,0
          41,  4.76053084e+02,  1.000000e+00,  3.859633e-01,       4.234867e+48,       6.555921e+47,   0.000000e+00,   0.000000e+00,  2.168691e+02,  0.000000e+00,  6.267107e+01,          -nan,  1.032438e+02,          -nan,  1.000000e+00,  1.000000e+00,  0.000000e+00,  8.961456e-01,  0.000000e+00,                1,            15,  1.000000e-01,    1.000000e+00,  2.105335e+00,     2.105335e+00,  1.997442e+01,  4.234867e+49,  4.234867e+48,  2.011493e+48,        2.011493e+48,  2.120145e+47,  3.000000e+00,  2.328864e+00,  6.711357e-01,  1.047862e+02,  2.824200e-01,                5,             8,  1.000000e-01,    3.859633e-01,  8.397861e-01,     8.397861e-01,  8.353284e-01,  2.530345e+48,  6.555921e+47,  3.013083e+47,        3.013083e+47,  3.029162e+47,         4,1,0,             1,0,0,   7.152618e-01,  5.613122e+03,    4.24167952e-11,  4.68034287e+01,  1.39808952e+04,1,   2.188094e+03,  3.860486e+03,    3.09646037e-08,  9.14148112e-04,  1.37105608e+01,  1.466854e-02,  3.436209e+00,  0.00000000e+00,  0.00000000e+00,  5.46319905e+10,  9.52363159e+05,1,0
          42,  4.77160142e+02,  1.000000e+00,  1.044838e+00,       4.234780e+48,       7.756556e+46,   0.000000e+00,   0.000000e+00,  6.771168e+02,  0.000000e+00,  1.956740e+02,          -nan,  3.223517e+02,          -nan,  1.000000e+00,  1.000000e+00,  0.000000e+00,  8.961641e-01,  0.000000e+00,                1,            15,  1.000000e-01,    1.000000e+00,  2.105266e+00,     2.105266e+00,  1.997415e+01,  4.234780e+49,  4.234780e+48,  2.011517e+48,        2.011517e+48,  2.120130e+47,  3.000000e+00,  2.297540e+00,  7.024599e-01,  3.227639e+02,  1.146562e-02,                6,            11,  1.000000e-01,    1.044838e+00,  9.819150e-01,     9.819150e-01,  3.945815e-01,  8.104343e+47,  7.756556e+46,  8.253609e+46,        8.253609e+46,  2.053908e+47,         4,1,0,             1,0,0,   7.153046e-01,  5.613148e+03,    4.24181109e-11,  4.67996568e+01,  1.39800576e+04,1,   1.098920e+04,  3.292885e+03,    1.67392789e-07,  5.82981149e-05,  2.72995239e+00,  3.080582e-02,  3.436106e+00,  0.00000000e+00,  0.00000000e+00,  5.35376067e+10,  1.50024606e+06,1,0
          43,  3.81654154e+02,  1.000000e+00,  2.197716e+00,       4.242331e+48,       4.429237e+47,   0.000000e+00,   0.000000e+00,  6.204709e+01,  0.000000e+00,  1.793044e+01,          -nan,  2.953845e+01,          -nan,  1.000000e+00,  1.000000e+00,  0.000000e+00,  8.945690e-01,  0.000000e+00,                1,            15,  1.000000e-01,    1.000000e+00,  2.111222e+00,     2.111222e+00,  1.999789e+01,  4.242331e+49,  4.242331e+48,  2.009419e+48,        2.009419e+48,  2.121390e+47,  3.000000e+00,  2.547076e+00,  4.529242e-01,  2.979072e+01,  1.499276e-02,                3,            10,  1.000000e-01,    2.197716e+00,  8.276549e-01,     8.276549e-01,  1.931995e+00,  9.734205e+48,  4.429237e+47,  1.176119e+48,        1.176119e+48,  5.038421e+47,         4,1,0,             1,0,0,   7.116431e-01,  5.610947e+03,    4.23049062e-11,  4.71243290e+01,  1.40519872e+04,1,   3.243717e+02,  4.492600e+03,    4.69386743e-09,  2.37225015e-02,  9.24864961e+01, -9.512655e-02,  3.438685e+00,  0.00000000e+00,  0.00000000e+00,  5.47686187e+10,  1.65616726e+06,1,0
