     FLOAT      	     FLOAT      	     FLOAT      	    INT     	     FLOAT      	    FLOAT     	    FLOAT     	    FLOAT     	    FLOAT     	    FLOAT     	    FLOAT     	    FLOAT     	    FLOAT     	    FLOAT     	    FLOAT     	     FLOAT      
      Myr       	      Myr       	      Myr       	     -      	       -        	     Msol     	     Msol     	     Rsol     	     Rsol     	     Lsol     	      K       	     Msol     	     Msol     	     Msol     	  Msol yr^-1  	      Myr       
      Age       	       dT       	      Time      	Stellar_Type	Metallicity@ZAMS	    Mass_0    	     Mass     	    Radius    	    R@ZAMS    	  Luminosity  	     Teff     	  Mass_Core   	 Mass_CO_Core 	 Mass_He_Core 	     Mdot     	      tMS       
  7.05502342e+01	  7.05502342e+01	  7.05502342e+01	           1	    1.450000e-02	  1.100000e+00	  1.100000e+00	  1.012623e+00	  1.010420e+00	  1.286085e+00	  6.114643e+03	  0.000000e+00	  0.000000e+00	  0.000000e+00	  0.000000e+00	  7.05502342e+03
  1.41100468e+02	  7.05502342e+01	  1.41100468e+02	           1	    1.450000e-02	  1.100000e+00	  1.100000e+00	  1.014833e+00	  1.010420e+00	  1.295482e+00	  6.119109e+03	  0.000000e+00	  0.000000e+00	  0.000000e+00	  0.000000e+00	  7.05502342e+03
  2.11650702e+02	  7.05502342e+01	  2.11650702e+02	           1	    1.450000e-02	  1.100000e+00	  1.100000e+00	  1.017049e+00	  1.010420e+00	  1.304954e+00	  6.123579e+03	  0.000000e+00	  0.000000e+00	  0.000000e+00	  0.000000e+00	  7.05502342e+03
  2.82200937e+02	  7.05502342e+01	  2.82200937e+02	           1	    1.450000e-02	  1.100000e+00	  1.100000e+00	  1.019275e+00	  1.010420e+00	  1.314503e+00	  6.128049e+03	  0.000000e+00	  0.000000e+00	  0.000000e+00	  0.000000e+00	  7.05502342e+03
  3.52751171e+02	  7.05502342e+01	  3.52751171e+02	           1	    1.450000e-02	  1.100000e+00	  1.100000e+00	  1.021511e+00	  1.010420e+00	  1.324128e+00	  6.132514e+03	  0.000000e+00	  0.000000e+00	  0.000000e+00	  0.000000e+00	  7.05502342e+03
  4.23301405e+02	  7.05502342e+01	  4.23301405e+02	           1	    1.450000e-02	  1.100000e+00	  1.100000e+00	  1.023758e+00	  1.010420e+00	  1.333831e+00	  6.136970e+03	  0.000000e+00	  0.000000e+00	  0.000000e+00	  0.000000e+00	  7.05502342e+03
  4.93851639e+02	  7.05502342e+01	  4.93851639e+02	           1	    1.450000e-02	  1.100000e+00	  1.100000e+00	  1.026018e+00	  1.010420e+00	  1.343611e+00	  6.141415e+03	  0.000000e+00	  0.000000e+00	  0.000000e+00	  0.000000e+00	  7.05502342e+03
  5.64401873e+02	  7.05502342e+01	  5.64401873e+02	           1	    1.450000e-02	  1.100000e+00	  1.100000e+00	  1.028293e+00	  1.010420e+00	  1.353471e+00	  6.145843e+03	  0.000000e+00	  0.000000e+00	  0.000000e+00	  0.000000e+00	  7.05502342e+03
  6.34952107e+02	  7.05502342e+01	  6.34952107e+02	           1	    1.450000e-02	  1.100000e+00	  1.100000e+00	  1.030583e+00	  1.010420e+00	  1.363410e+00	  6.150250e+03	  0.000000e+00	  0.000000e+00	  0.000000e+00	  0.000000e+00	  7.05502342e+03
  7.05502342e+02	  7.05502342e+01	  7.05502342e+02	           1	    1.450000e-02	  1.100000e+00	  1.100000e+00	  1.032890e+00	  1.010420e+00	  1.373430e+00	  6.154633e+03	  0.000000e+00	  0.000000e+00	  0.000000e+00	  0.000000e+00	  7.05502342e+03
