     FLOAT      ,     FLOAT      ,     FLOAT      ,    INT     ,     FLOAT      ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,     FLOAT      
      Myr       ,      Myr       ,      Myr       ,     -      ,       -        ,     Msol     ,     Msol     ,     Rsol     ,     Rsol     ,     Lsol     ,     Tsol     ,     Msol     ,     Msol     ,     Msol     ,  Msol yr^-1  ,      Myr       
      Age       ,       dT       ,      Time      ,Stellar_Type,Metallicity@ZAMS,    Mass_0    ,     Mass     ,    Radius    ,    R@ZAMS    ,  Luminosity  ,     Teff     ,  Mass_Core   , Mass_CO_Core , Mass_He_Core ,     Mdot     ,      tMS       
  4.92142223e-02,  4.91974176e-02,  4.91974176e-02,           1,    1.420000e-02,  3.949414e+01,  3.949414e+01,  8.784707e+00,  8.733861e+00,  2.157372e+05,  7.271393e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  4.239879e-07,  4.91974176e+00
  9.84624409e-02,  4.92142223e-02,  9.84116399e-02,           1,    1.420000e-02,  3.947307e+01,  3.947307e+01,  8.832886e+00,  8.733861e+00,  2.166993e+05,  7.259606e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  4.281144e-07,  4.92142223e+00
  1.47745248e-01,  4.92312204e-02,  1.47642860e-01,           1,    1.420000e-02,  3.945179e+01,  3.945179e+01,  8.881336e+00,  8.733861e+00,  2.176753e+05,  7.247916e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  4.323175e-07,  4.92312204e+00
  1.97063252e-01,  4.92484160e-02,  1.96891276e-01,           1,    1.420000e-02,  3.943029e+01,  3.943029e+01,  8.930083e+00,  8.733861e+00,  2.186652e+05,  7.236310e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  4.365985e-07,  4.92484160e+00
  2.46417078e-01,  4.92658130e-02,  2.46157089e-01,           1,    1.420000e-02,  3.940856e+01,  3.940856e+01,  8.979154e+00,  8.733861e+00,  2.196692e+05,  7.224779e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  4.409585e-07,  4.92658130e+00
  2.95807369e-01,  4.92834156e-02,  2.95440505e-01,           1,    1.420000e-02,  3.938661e+01,  3.938661e+01,  9.028575e+00,  8.733861e+00,  2.206875e+05,  7.213313e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  4.453987e-07,  4.92834156e+00
  3.45234785e-01,  4.93012282e-02,  3.44741733e-01,           1,    1.420000e-02,  3.936443e+01,  3.936443e+01,  9.078374e+00,  8.733861e+00,  2.217200e+05,  7.201902e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  4.499204e-07,  4.93012282e+00
  3.94700004e-01,  4.93192550e-02,  3.94060988e-01,           1,    1.420000e-02,  3.934201e+01,  3.934201e+01,  9.128577e+00,  8.733861e+00,  2.227669e+05,  7.190534e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  4.545246e-07,  4.93192550e+00
  4.44203722e-01,  4.93375005e-02,  4.43398488e-01,           1,    1.420000e-02,  3.931936e+01,  3.931936e+01,  9.179214e+00,  8.733861e+00,  2.238283e+05,  7.179199e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  4.592126e-07,  4.93375005e+00
  4.93746657e-01,  4.93559692e-02,  4.92754458e-01,           1,    1.420000e-02,  3.929646e+01,  3.929646e+01,  9.230313e+00,  8.733861e+00,  2.249044e+05,  7.167889e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  4.639853e-07,  4.93559692e+00
  5.43329541e-01,  4.93746657e-02,  5.42129123e-01,           1,    1.420000e-02,  3.927331e+01,  3.927331e+01,  9.281904e+00,  8.733861e+00,  2.259952e+05,  7.156592e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  4.688440e-07,  4.93746657e+00
  5.92953132e-01,  4.93935947e-02,  5.91522718e-01,           1,    1.420000e-02,  3.924990e+01,  3.924990e+01,  9.334016e+00,  8.733861e+00,  2.271008e+05,  7.145299e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  4.737895e-07,  4.93935947e+00
  6.42618202e-01,  4.94127610e-02,  6.40935479e-01,           1,    1.420000e-02,  3.922624e+01,  3.922624e+01,  9.386680e+00,  8.733861e+00,  2.282213e+05,  7.133999e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  4.788231e-07,  4.94127610e+00
  6.92325550e-01,  4.94321694e-02,  6.90367648e-01,           1,    1.420000e-02,  3.920232e+01,  3.920232e+01,  9.439926e+00,  8.733861e+00,  2.293570e+05,  7.122684e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  4.839456e-07,  4.94321694e+00
  7.42075991e-01,  4.94518250e-02,  7.39819473e-01,           1,    1.420000e-02,  3.917813e+01,  3.917813e+01,  9.493788e+00,  8.733861e+00,  2.305077e+05,  7.111343e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  4.891581e-07,  4.94518250e+00
  7.91870365e-01,  4.94717327e-02,  7.89291206e-01,           1,    1.420000e-02,  3.915367e+01,  3.915367e+01,  9.548296e+00,  8.733861e+00,  2.316738e+05,  7.099966e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  4.944614e-07,  4.94717327e+00
  8.41709532e-01,  4.94918978e-02,  8.38783104e-01,           1,    1.420000e-02,  3.912893e+01,  3.912893e+01,  9.603484e+00,  8.733861e+00,  2.328553e+05,  7.088545e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  4.998564e-07,  4.94918978e+00
  8.91594376e-01,  4.95123254e-02,  8.88295429e-01,           1,    1.420000e-02,  3.910391e+01,  3.910391e+01,  9.659385e+00,  8.733861e+00,  2.340523e+05,  7.077069e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  5.053441e-07,  4.95123254e+00
  9.41525804e-01,  4.95330209e-02,  9.37828450e-01,           1,    1.420000e-02,  3.907860e+01,  3.907860e+01,  9.716034e+00,  8.733861e+00,  2.352649e+05,  7.065530e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  5.109250e-07,  4.95330209e+00
  9.91504745e-01,  4.95539897e-02,  9.87382440e-01,           1,    1.420000e-02,  3.905300e+01,  3.905300e+01,  9.773465e+00,  8.733861e+00,  2.364932e+05,  7.053918e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  5.166001e-07,  4.95539897e+00
  1.04153215e+00,  4.95752372e-02,  1.03695768e+00,           1,    1.420000e-02,  3.902711e+01,  3.902711e+01,  9.831714e+00,  8.733861e+00,  2.377374e+05,  7.042223e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  5.223700e-07,  4.95752372e+00
  1.09160901e+00,  4.95967692e-02,  1.08655445e+00,           1,    1.420000e-02,  3.900091e+01,  3.900091e+01,  9.890818e+00,  8.733861e+00,  2.389976e+05,  7.030436e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  5.282352e-07,  4.95967692e+00
  1.14173631e+00,  4.96185912e-02,  1.13617304e+00,           1,    1.420000e-02,  3.897440e+01,  3.897440e+01,  9.950812e+00,  8.733861e+00,  2.402739e+05,  7.018549e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  5.341964e-07,  4.96185912e+00
  1.19191509e+00,  4.96407090e-02,  1.18581375e+00,           1,    1.420000e-02,  3.894758e+01,  3.894758e+01,  1.001174e+01,  8.733861e+00,  2.415663e+05,  7.006553e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  5.402541e-07,  4.96407090e+00
  1.24214639e+00,  4.96631286e-02,  1.23547688e+00,           1,    1.420000e-02,  3.892045e+01,  3.892045e+01,  1.007363e+01,  8.733861e+00,  2.428752e+05,  6.994438e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  5.464086e-07,  4.96631286e+00
  1.29243131e+00,  4.96858557e-02,  1.28516273e+00,           1,    1.420000e-02,  3.889299e+01,  3.889299e+01,  1.013653e+01,  8.733861e+00,  2.442005e+05,  6.982196e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  5.526603e-07,  4.96858557e+00
  1.34277094e+00,  4.97088965e-02,  1.33487163e+00,           1,    1.420000e-02,  3.886520e+01,  3.886520e+01,  1.020047e+01,  8.733861e+00,  2.455423e+05,  6.969817e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  5.590094e-07,  4.97088965e+00
  1.39316642e+00,  4.97322571e-02,  1.38460388e+00,           1,    1.420000e-02,  3.883708e+01,  3.883708e+01,  1.026551e+01,  8.733861e+00,  2.469009e+05,  6.957294e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  5.654561e-07,  4.97322571e+00
  1.44361891e+00,  4.97559437e-02,  1.43435983e+00,           1,    1.420000e-02,  3.880862e+01,  3.880862e+01,  1.033168e+01,  8.733861e+00,  2.482763e+05,  6.944618e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  5.720004e-07,  4.97559437e+00
  1.49412959e+00,  4.97799624e-02,  1.48413979e+00,           1,    1.420000e-02,  3.877981e+01,  3.877981e+01,  1.039902e+01,  8.733861e+00,  2.496686e+05,  6.931779e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  5.786423e-07,  4.97799624e+00
  1.54469968e+00,  4.98043197e-02,  1.53394411e+00,           1,    1.420000e-02,  3.875066e+01,  3.875066e+01,  1.046759e+01,  8.733861e+00,  2.510780e+05,  6.918770e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  5.853815e-07,  4.98043197e+00
