    INT     ,         FLOAT         ,          FLOAT          ,       FLOAT        ,     FLOAT     ,      FLOAT       ,       FLOAT        ,     FLOAT      ,    FLOAT     ,   INT    ,     FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,     FLOAT      ,      INT      , BOOL  ,   BOOL   ,      INT      ,      INT      ,        INT         ,    FLOAT     ,     FLOAT      ,     FLOAT     ,      FLOAT       ,    FLOAT     ,       BOOL        ,      FLOAT      ,      FLOAT      ,    FLOAT     ,       BOOL        
     -      ,        kms^-1         ,         kms^-1          ,         -          ,    kms^-1     ,        -         ,         -          ,       -        ,      -       ,    -     ,       -       ,      -       ,     Rsol     ,     Rsol     ,      Myr       ,     State     , State ,  Event   ,       -       ,       -       ,         -          ,     Msol     ,      Msol      ,     Msol      ,       Msol       ,     Msol     ,       Event       ,     kms^-1      ,     kms^-1      ,    kms^-1    ,       State       
    SEED    ,Drawn_Kick_Magnitude_SN,Applied_Kick_Magnitude_SN,Fallback_Fraction_SN,Orb_Velocity<SN,Kick_Magnitude(uK),True_Anomaly(psi)_SN,SN_Kick_Theta_SN,SN_Kick_Phi_SN,SN_Type_SN,Eccentricity<SN, Eccentricity ,Separation<SN ,  Separation  ,      Time      ,Supernova_State,Unbound,Runaway_CP,Stellar_Type_CP,Stellar_Type_SN,Stellar_Type_Prev_SN,   Mass_CP    ,Mass_Total@CO_SN,Mass_Core@CO_SN,Mass_He_Core@CO_SN,   Mass_SN    ,Experienced_RLOF_SN,ComponentSpeed_SN,ComponentSpeed_CP,SystemicSpeed ,Is_Hydrogen_Poor_SN
          27,           4.083764e+02,             4.004882e+02,        1.931594e-02,   9.323951e+00,      4.295263e+01,        0.000000e+00,    0.000000e+00,  0.000000e+00,         1,   0.000000e+00,  4.865226e+03,  3.897966e+04, -8.013539e+00,  1.98432386e+01,              1,1,1,              1,             13,                   5,  5.770137e+00,    1.200108e+01,   3.693305e+00,      3.693305e+00,  1.284825e+00,0,     4.034467e+02,     6.281235e+00,  6.833700e+01,0
          28,           4.083764e+02,             2.807201e+02,        3.125947e-01,   3.461495e+01,      8.109795e+00,        9.946114e-01,    0.000000e+00,  0.000000e+00,         1,   0.000000e+00,  1.965670e+02,  3.779737e+03, -1.932707e+01,  9.49551279e+00,              1,1,1,              1,             14,                   5,  3.465160e+00,    2.028508e+01,   7.322551e+00,      7.322551e+00,  6.511171e+00,0,     2.852138e+02,     2.853664e+01,  1.762426e+02,0
          29,           4.083764e+02,             1.722576e+02,        5.781891e-01,   1.057078e+02,      1.629565e+00,       1.976263e-323,   6.953323e-310,  9.945069e-01,         1,   0.000000e+00,  4.059907e+00,  8.410841e+02, -2.124447e+02,  6.25730930e+00,              1,1,1,              1,             14,                   8,  3.908008e+01,    1.020691e+01,   7.554961e+00,      1.020691e+01,  5.842853e+00,1,     1.929287e+02,     1.020581e+01,  1.922098e+01,1
          30,           4.083764e+02,             3.446090e+02,        1.561485e-01,   3.619491e+01,      9.520927e+00,       1.976263e-323,   6.953323e-310, 4.076593e-315,         1,   0.000000e+00,  1.262717e+02,  3.288997e+03, -2.625490e+01,  1.21779484e+01,              1,1,1,              4,             13,                   8,  1.811703e+01,    4.479279e+00,   3.124109e+00,      4.479279e+00,  1.535274e+00,1,     3.708591e+02,     6.943276e+00,  2.257417e+01,1
          31,           4.083764e+02,             3.993503e+02,        2.210237e-02,   3.708858e+00,      1.076747e+02,        9.946114e-01,    9.945068e-01, 1.976263e-323,         1,   0.000000e+00,  7.843619e+04,  1.461926e+05, -1.863865e+00,  2.60439013e+01,              1,1,1,              0,             13,                   5,  2.971292e-01,    1.024880e+01,   3.006573e+00,      3.006573e+00,  1.277584e+00,0,     3.994063e+02,     3.602076e+00,  3.236738e+02,0
          34,           4.083764e+02,             3.967685e+02,        2.842456e-02,   8.135670e+00,      4.876900e+01,        5.543657e-01,    9.945068e-01,  5.543657e-01,         1,   0.000000e+00,  7.921324e+03,  2.837298e+04, -3.434672e+00,  3.94591431e+01,              1,1,1,              1,             13,                   5,  1.612344e+00,    8.236170e+00,   2.261730e+00,      2.261730e+00,  1.277584e+00,0,     3.973604e+02,     6.789474e+00,  1.739413e+02,0
          35,           4.083764e+02,             3.620646e+02,        1.134048e-01,   5.917469e+01,      6.118572e+00,       1.976263e-323,   6.953323e-310,  5.543214e-01,         1,   0.000000e+00,  5.280717e+01,  4.764728e+02, -8.144886e+00,  1.91327532e+01,              1,1,1,              1,             13,                   8,  5.786027e+00,    2.963593e+00,   1.942484e+00,      2.963593e+00,  1.277584e+00,1,     3.904273e+02,     1.801533e+01,  5.775400e+01,1
          36,           4.083764e+02,             2.814947e+02,        3.106979e-01,   2.768461e+01,      1.016791e+01,       1.976263e-323,   6.953323e-310, 4.076593e-315,         1,   0.000000e+00,  3.322382e+02,  5.482265e+03, -1.655082e+01,  9.50938979e+00,              1,1,1,              1,             14,                   5,  1.775532e+00,    2.025961e+01,   7.310565e+00,      7.310565e+00,  6.471641e+00,0,     2.835252e+02,     2.473433e+01,  2.171623e+02,0
          38,           4.083764e+02,             4.003839e+02,        1.957148e-02,   8.362595e+00,      4.787795e+01,        5.543657e-01,    0.000000e+00, 1.976263e-323,         1,   0.000000e+00,  4.491112e+03,  5.906559e+04, -1.315459e+01,  2.15622923e+01,              1,1,1,              1,             13,                   5,  1.024291e+01,    1.141895e+01,   3.461509e+00,      3.461509e+00,  1.277584e+00,0,     4.042573e+02,     4.398222e+00,  4.092029e+01,0
