    INT     ,    FLOAT     ,    FLOAT     ,     FLOAT     ,      FLOAT      ,              FLOAT              ,     FLOAT     ,    FLOAT     ,        FLOAT         ,              FLOAT              ,     FLOAT     ,    FLOAT     ,        FLOAT         ,    FLOAT     ,    FLOAT     ,      FLOAT       ,      FLOAT       ,     FLOAT     ,     FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,      FLOAT       ,      FLOAT       , BOOL  , BOOL ,     BOOL      ,        INT        ,     INT      ,        INT        ,     INT      , INT  
     -      ,     Msol     ,     Msol     ,      AU       ,        -        ,                -                ,       -       ,      -       ,          -           ,                -                ,       -       ,      -       ,          -           ,    yr^-1     ,    yr^-1     ,      kms^-1      ,      kms^-1      ,    kms^-1     ,    kms^-1     ,      -       ,      -       ,      -       ,        -         ,        -         , State ,Event ,     Event     ,         -         ,      -       ,         -         ,      -       ,  -   
    SEED    , Mass@ZAMS_1  , Mass@ZAMS_2  ,Separation@ZAMS,Eccentricity@ZAMS,SN_Kick_Magnitude_Random_Number_1,SN_Kick_Theta_1,SN_Kick_Phi_1 ,SN_Kick_Mean_Anomaly_1,SN_Kick_Magnitude_Random_Number_2,SN_Kick_Theta_2,SN_Kick_Phi_2 ,SN_Kick_Mean_Anomaly_2, Omega@ZAMS_1 , Omega@ZAMS_2 ,Sigma_Kick_CCSN_NS,Sigma_Kick_CCSN_BH,Sigma_Kick_ECSN,Sigma_Kick_USSN,LBV_Multiplier,WR_Multiplier ,   CE_Alpha   ,Metallicity@ZAMS_1,Metallicity@ZAMS_2,Unbound,Merger,Merger_At_Birth,Stellar_Type@ZAMS_1,Stellar_Type_1,Stellar_Type@ZAMS_2,Stellar_Type_2,Error 
          27,  1.200108e+01,  5.770137e+00,   1.812738e+02,     0.000000e+00,                     5.543657e-01,   0.000000e+00,  0.000000e+00,          0.000000e+00,                     9.946114e-01,   0.000000e+00,  0.000000e+00,          0.000000e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01, 5.533535e-322,  0.000000e+00,  1.000000e+00,      2.000000e-02,      2.000000e-02,1,0,0,                  1,            13,                  1,             1,     0
          28,  2.028508e+01,  3.465160e+00,   1.757755e+01,     0.000000e+00,                     5.543657e-01,   0.000000e+00,  0.000000e+00,          9.946114e-01,                     9.946114e-01,   0.000000e+00,  0.000000e+00,          9.946114e-01,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01, 5.533535e-322,  0.000000e+00,  1.100000e+00,      2.000000e-02,      2.000000e-02,1,0,0,                  1,            14,                  1,             1,     0
          29,  3.145977e+01,  2.518447e+01,   1.379189e+00,     0.000000e+00,                     5.543657e-01,  6.953323e-310,  9.945069e-01,         1.976263e-323,                     9.946114e-01,  6.953323e-310,  9.945069e-01,         1.976263e-323,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01, 5.533535e-322,  0.000000e+00,  1.200000e+00,      2.000000e-02,      2.000000e-02,1,0,0,                  1,            14,                  1,             1,     0
          30,  1.683929e+01,  1.544125e+01,   3.334218e+00,     0.000000e+00,                     5.543657e-01,  6.953323e-310, 4.076593e-315,         1.976263e-323,                     9.946114e-01,  6.953323e-310, 4.076593e-315,         1.976263e-323,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01, 5.533535e-322,  0.000000e+00,  1.000000e+00,      2.000000e-02,      2.000000e-02,1,0,0,                  1,            13,                  1,             4,     0
          31,  1.024880e+01,  2.971292e-01,   6.798644e+02,     0.000000e+00,                     5.543657e-01,   9.945068e-01, 1.976263e-323,          9.946114e-01,                     9.946114e-01,   9.945068e-01, 1.976263e-323,          9.946114e-01,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01, 5.533535e-322,  0.000000e+00,  1.100000e+00,      2.000000e-02,      2.000000e-02,1,0,0,                  1,            13,                  0,             0,     0
          32,  3.080313e+01,  1.837607e+00,   3.096311e+00,     0.000000e+00,                     5.543657e-01,  6.953323e-310,  9.945069e-01,         1.976263e-323,                     9.946114e-01,  6.953323e-310,  9.945069e-01,         1.976263e-323,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  0.000000e+00,  8.644761e+02,  1.200000e+00,      2.000000e-02,      2.000000e-02,0,1,0,                  1,             7,                  1,            15,     0
          33,  9.872259e+00,  6.808725e+00,   6.308145e+00,     0.000000e+00,                     5.543657e-01,   0.000000e+00, 1.976263e-323,          5.543657e-01,                     9.946114e-01,   0.000000e+00, 1.976263e-323,          5.543657e-01,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  0.000000e+00, -3.608549e+02,  1.000000e+00,      2.000000e-02,      2.000000e-02,0,1,0,                  1,             8,                  1,            15,     0
          34,  8.236170e+00,  1.612344e+00,   1.319477e+02,     0.000000e+00,                     5.543657e-01,   9.945068e-01,  5.543657e-01,          5.543657e-01,                     9.946114e-01,   9.945068e-01,  5.543657e-01,          5.543657e-01,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  0.000000e+00, -3.608549e+02,  1.100000e+00,      2.000000e-02,      2.000000e-02,1,0,0,                  1,            13,                  1,             1,     0
